Label,1PE,BOG,GSH,LDA,LLP,PLM,PMP,SAM,SUC,U5P
Click_bpm,0.77,0.59,0.97,0.84,0.97,0.5,0.94,0.8,0.73,0.68
Click_bpm,0.76,0.41,0.91,0.73,0.74,0.75,0.97,0.67,0.62,0.51
Click_bpm,0.74,0.48,0.63,0.45,0.94,0.72,0.97,0.87,0.75,0.56
Click_bpm,0.76,0.7,0.96,0.75,0.94,0.62,0.93,0.86,0.59,0.73
Click_bpm,0.84,0.67,0.87,0.76,0.97,0.62,0.98,0.85,0.6,0.73
Click_bpm,0.53,0.56,0.89,0.79,0.96,0.77,0.94,0.52,0.87,0.66
Click_bpm,0.44,0.46,0.89,0.68,0.96,0.79,0.98,0.77,0.54,0.82
Click_bpm,0.6,0.62,0.93,0.77,0.82,0.37,0.94,0.82,0.75,0.67
Click_bpm,0.69,0.45,0.94,0.61,0.97,0.79,0.94,0.81,0.71,0.53
Click_bpm,0.67,0.53,0.91,0.6,0.95,0.75,0.96,0.87,0.76,0.52
Click_bpl,0.73,0.56,0.92,0.90,0.93,0.59,0.97,0.60,0.93,0.81
Click_bpl,0.68,0.82,0.96,0.89,0.94,0.79,0.97,0.61,0.86,0.77
Click_bpl,0.75,0.66,0.44,0.86,0.99,0.79,0.95,0.92,0.58,0.65
Click_bpl,0.80,0.51,0.98,0.83,0.94,0.75,0.92,0.87,0.57,0.70
Click_bpl,0.63,0.72,0.98,0.86,0.98,0.73,0.95,0.88,0.90,0.83
Click_bpl,0.85,0.73,0.99,0.88,0.98,0.80,0.90,0.61,0.89,0.74
Click_bpl,0.84,0.71,0.98,0.77,0.96,0.79,1.00,0.53,0.86,0.78
Click_bpl,0.85,0.72,0.95,0.80,0.80,0.39,0.97,0.89,0.68,0.75
Click_bpl,0.78,0.75,0.97,0.87,0.97,0.84,0.97,0.90,0.83,0.52
Click_bpl,0.79,0.58,0.98,0.86,0.99,0.87,0.97,0.92,0.52,0.79
